Title,Author,Gitenberg Status,Formatting Complexity,Formatting Notes,Gitenberg URL,Repo Cover,RTC 1st GEN,RTC 2nd GEN,RTC Other Gen,RTC Cover?,RTC Good Cover?,Need to Add to CAN Submit List,CAN REQUEST DATE,Notes,"Name in rtc/books.json, Official Name",ISBN 13,Tagged for ePUB gen Process (y/n)
The Beautiful and Damned,F. Scott Fitzgerald,ASCIIDOC,,,,,,,,NO,,,,,,,
Daddy-Long-Legs,Jean Webster,,,,,,,,,NO,,,,,,,
The Canterbury Tales,Geoffrey Chaucer,,,,,,,,,NO,,,,,,,
The Pilgrim's Progress,John Bunyan,,,,,,,,,NO,,,,,,,
Heidi,Johanna Spyri,,,,,,,,,NO,,,,,,,
Jo's Boys,Louisa May Alcott,,,,,,,,,NO,,,,,,,
Cyrano de Bergerac,Edmond Rostand,,,,,,,,,NO,,,,,,,
Kim,Rudyard Kipling,,,,,,,,,NO,,,,,,,
The Importance of Being Earnest,Oscar Wilde,ASCIIDOC,,,,,,,,NO,,,,,,,
On Liberty,John Stuart Mill,,,,,,,,,NO,,,,,,,
The Communist Manifesto,Karl Marx and Friedrich Engels,ASCIIDOC,,,,,,,,NO,,,,,,,
Aesop's Fables,Aesop's Fables,,,,,,,,,NO,,,,,,,
Leviathan,Thomas Hobbes,,,,,,,,,NO,,,,,,,
The Legend of Sleepy Hollow,Washington Irving,ASCIIDOC,,,,,,,,NO,,,,,,,
The House of Mirth,Edith Wharton,,,,,,,,,NO,,,,,,,
Little Men,Louisa May Alcott,,,,,,,,,NO,,,,,,,
The Woman in White,Wilkie Collins,,,,,,,,,NO,,,,,,,
Anne of Avonlea,L. M. Montgomery,,,,,,,,,NO,,,,,,,
Eight Cousins,Louisa May Alcott,,,,,,,,,NO,,,,,,,
The Professor,Charlotte Bronté,,,,,,,,,NO,,,,,,,
What Maisie Knew,Henry James,,,,,,,,,NO,,,,,,,
Jacob's Room,Virginia Woolf,,,,,,,,,NO,,,,,,,
The Turn of the Screw,Henry James,,,,,,,,,,,,,,,,
The Theory of the Leisure Class,Thorstein Veblen,,,,,,,,,,,,,,,,
Little Lord Fauntleroy,Frances Hodgson Burnett,,,,,,,,,,,,,,,,
A Doll's House,Henrik Ibsen,ASCIIDOC,,,,,,,,,,,,,,,
The Ambassadors,Henry James,,,,,,,,,,,,,,,,
The Story of Doctor Dolittle,Hugh Lofting,,,,,,,,,,,,,,,,
King Arthur and the Knights of the Round Table,?,,,,,,,,,,,,,,,,
The Mystery of Edwin Drood       , Charles Dickens,,,,,,,,,,,,,,,,
Pollyanna,Eleanor H. Porter,ASCIIDOC,,,,,,,,,,,,,,,
The Grand Inquisitor,Fyodor Dostoyevsky,,,,,,,,,,,,,,,,
The Song of Hiawatha,Henry Wadsworth Longfellow,,,,,,,,,,,,,,,,
